# Russian names for the hide catalogue, keyed by entry id: the English names are
# generated from mkgmap values, so keying by them would silently fall back on a
# rename. An entry with no Russian here shows its English name.
#
# category|<english>|<russian>   for the section headings
# <feature-id>|<russian>         for the entries

category|Barriers and gates|Преграды и ворота
category|Amenities|Объекты и услуги
category|Shops|Магазины
category|Tourism|Туризм
category|Leisure and sport|Отдых и спорт
category|Road features|Дорожные объекты
category|Railway|Железная дорога
category|Natural features|Природные объекты
category|Man-made|Сооружения
category|Historic|Историческое
category|Emergency|Экстренные службы
category|Military|Военное
category|Power|Энергетика
category|Aviation|Авиация
category|Waterways|Водные пути
category|Offices|Офисы
category|Craft|Ремёсла
category|Land use|Землепользование

barriers-fence|Калитки в заборах участков
railway-halt|Платформа
railway-station|Железнодорожная станция
natural-bay|Залив
natural-beach|Пляж
natural-cape|Мыс
natural-cave_entrance|Вход в пещеру
natural-cliff|Обрыв
natural-geyser|Гейзер
natural-glacier|Ледник
natural-peak|Вершина
natural-rock|Скала
natural-spring|Родник
natural-stone|Камень
natural-stream|Ручей
natural-volcano|Вулкан
natural-water|Водоём
natural-waterfall|Водопад
natural-wetland|Болото
man_made-tower|Башня
man_made-mast|Мачта
power-tower|Опоры ЛЭП
power-generator|Генераторы и ветряки
man_made-water_tower|Водонапорные башни
man_made-lighthouse|Маяки
man_made-survey_point|Геодезические пункты
man_made-beacon|Навигационные знаки
highway-milestone|Километровые столбы
office-government|Госучреждения
leisure-slipway|Спуски для лодок
leisure-fishing|Места рыбалки
military-bunker|Бункеры
man_made-water_well|Колодец
historic-archaeological_site|Археологический памятник
historic-memorial|Мемориал
historic-museum|Музей
emergency-phone|Телефон экстренной связи
aeroway-aerodrome|Аэродром
aeroway-airport|Аэропорт
aeroway-helipad|Вертолётная площадка
aeroway-terminal|Терминал
landuse-basin|Водосборный бассейн
landuse-cemetery|Кладбище
landuse-military|Военная территория
landuse-reservoir|Водохранилище
landuse-village_green|Сельский выгон
