# Russian labels for objects OSM leaves unnamed.
#
# mkgmap's stock rules end in mop-ups that turn a raw tag value into a label --
# `add name='${amenity|subst:"_=> "}'` -- so an unnamed shop comes out as
# SUPERMARKET and an unnamed pier as PIER. On a Russian map that is machine
# text in the wrong alphabet. Measured in the Crimea extract: 238 tag pairs
# reach the labels this way, carrying 16797 objects.
#
# One line per pair: key=value|label. Applied only when the map is built with
# Cyrillic labels; other languages keep mkgmap's English, which is the
# international fallback.
#
# Keep the labels short. They are drawn on the map next to the icon, not read
# in a list, and a long one is simply clutter.

shop=convenience|Продукты
shop=department_store|Универмаг
amenity=motorcycle_parking|Мотопарковка
amenity=public_bath|Баня
office=yes|Офис
man_made=mineshaft|Шахтный ствол
shop=newsagent|Пресса
historic=castle|Крепость
shop=baby_goods|Детские товары
shop=sports|Спорттовары
healthcare=yes|Медучреждение
shop=photo|Фотоуслуги
amenity=nightclub|Ночной клуб
shop=fabric|Ткани
shop=bookmaker|Букмекер
amenity=ice_cream|Мороженое
shop=pawnbroker|Ломбард
man_made=bunker_silo|Силосная яма
man_made=spoil_heap|Отвал
shop=hifi|Аудиотехника
amenity=boat_rental|Прокат лодок
shop=tailor|Ателье
shop=tea|Чай
amenity=courthouse|Суд
shop=garden_centre|Садовый центр
shop=radiotechnics|Радиотехника
shop=appliance|Бытовая техника
man_made=telescope|Телескоп
historic=building|Историческое здание
shop=motorcycle|Мотоциклы
shop=laundry|Прачечная
amenity=car_rental|Прокат авто
shop=pyrotechnics|Пиротехника
shop=paint|Краски
shop=funeral_directors|Ритуальные услуги
tourism=camp_pitch|Место под палатку
man_made=fuel_storage_tank|Топливный резервуар
amenity=social_facility|Соцучреждение
amenity=driver_training|Автодром
man_made=planter|Клумба
shop=erotic|Интим-товары
historic=monument|Памятник
historic=battlefield|Место сражения
shop=antiques|Антиквариат
shop=religion|Церковная лавка
amenity=vehicle_inspection|Техосмотр
shop=electrical|Электротовары
shop=rental|Прокат
amenity=music_school|Музыкальная школа
tourism=trail_riding_station|Конная база
shop=boutique|Бутик
man_made=oxidation_ditch|Аэротенк
man_made=tent|Шатёр
tourism=zoo|Зоопарк
man_made=tunnel|Тоннель
historic=city_gate|Городские ворота
shop=trade|Оптовая торговля
shop=perfumery|Парфюмерия
shop=water|Вода
shop=shoe_repair|Ремонт обуви
shop=pastry|Кондитерская
shop=lottery|Лотереи
shop=doors|Двери
shop=coffee|Кофе
shop=bathroom_furnishing|Сантехника
shop=flooring|Напольные покрытия
amenity=animal_breeding|Питомник
shop=scuba_diving|Дайвинг
amenity=rescue_station|Спасательная станция
amenity=bus_parking|Стоянка автобусов
amenity=arts_centre|Дом творчества
shop=wholesale|Оптовый склад
amenity=mortuary|Морг
healthcare=pharmacy|Аптека
shop=music|Музыкальный магазин
shop=dry_cleaning|Химчистка
shop=e-cigarette|Электронные сигареты
shop=travel_agency|Турагентство
shop=lighting|Светильники
shop=spices|Специи
shop=medical_supply|Медтехника
shop=money_lender|Микрозаймы
shop=interior_decoration|Товары для интерьера
tourism=gallery|Галерея
shop=boat|Лодки
shop=weapons|Оружие
shop=repair|Ремонт
shop=window_construction|Окна
shop=bag|Сумки
shop=pet_grooming|Груминг
shop=fishing|Рыболовные товары
shop=curtain|Шторы
shop=cheese|Сыр
tourism=aquarium|Океанариум
shop=beer|Пиво
man_made=courtyard|Двор
historic=bunker|Бункер
amenity=kitchen|Кухня
man_made=dam|Плотина
amenity=security_booth|Пост охраны
amenity=sanitary_dump_station|Слив для автодомов
leisure=yes|Отдых
shop=motorcycle_repair|Ремонт мотоциклов
amenity=amphitheater|Амфитеатр
amenity=planetarium|Планетарий
amenity=waste_transfer_station|Мусороперегрузочная станция
shop=ice_cream|Мороженое
shop=window_blind|Жалюзи
historic=wayside_shrine|Придорожная часовня
amenity=museum|Музей
amenity=dancing_school|Школа танцев
man_made=quay|Набережная
amenity=stage|Сцена
man_made=bicycle_ramp|Велорампа
historic=pillory|Позорный столб
shop=shoes;clothes|Одежда и обувь
amenity=toilets|Туалет
amenity=recycling|Приём вторсырья
amenity=drinking_water|Питьевая вода
man_made=breakwater|Волнорез
waterway=dam|Плотина
waterway=weir|Водослив
waterway=lock_gate|Шлюзовые ворота
waterway=dock|Док
waterway=drystream|Пересыхающий ручей
waterway=ditch|Канава
waterway=pressurised|Напорный водовод
military=yes|Военный объект
barrier=yes|Ограждение

# Barriers, sports and cuisines. Last on purpose: the first `name` that runs wins,
# so a shop keeps its own label even when it also carries a sport or cuisine tag.
barrier=fence|Забор
barrier=wall|Стена
barrier=ditch|Ров
barrier=hedge|Живая изгородь
barrier=retaining_wall|Подпорная стена
barrier=city_wall|Городская стена
barrier=guard_rail|Отбойник
sport=soccer|Футбольное поле
sport=football|Футбольное поле
sport=futsal|Мини-футбол
sport=fitness|Тренажёры
sport=tennis|Теннисный корт
sport=basketball|Баскетбольная площадка
sport=multi|Спортплощадка
sport=running|Беговая дорожка
sport=volleyball|Волейбольная площадка
sport=beachvolleyball|Пляжный волейбол
sport=swimming|Бассейн
sport=motor|Мотодром
sport=skateboard|Скейт-площадка
sport=table_tennis|Настольный теннис
sport=motocross|Мотокросс
sport=horse_racing|Ипподром
sport=karting|Картинг
sport=baseball|Бейсбол
sport=equestrian|Конный спорт
sport=gymnastics|Гимнастика
sport=kitesurfing|Кайтсёрфинг
sport=badminton|Бадминтон
sport=paintball|Пейнтбол
sport=chess|Шахматы
sport=athletics|Лёгкая атлетика
sport=soccer;basketball|Футбол и баскетбол
sport=volleyball;basketball|Волейбол и баскетбол
sport=running;football|Бег и футбол
cuisine=coffee_shop|Кофейня
cuisine=pizza|Пиццерия
cuisine=regional|Местная кухня
cuisine=burger|Бургерная
cuisine=kebab|Шаурма
cuisine=shawarma|Шаурма
cuisine=asian|Азиатская кухня
cuisine=international|Разная кухня
cuisine=russian|Русская кухня
cuisine=japanese|Японская кухня
cuisine=korean|Корейская кухня
cuisine=italian|Итальянская кухня
cuisine=donut|Пончики
cuisine=dessert|Десерты
cuisine=crepe|Блины
